Year,Seed Stage Rounds,Early Stage Rounds,Late Stage Rounds,Total Funding,Number of Rounds,Total Number of Companies,Seed Stage Funding,Early Stage Funding,Late Stage Funding
2015.0,51,3,0.0,37905179,63,1100,24985699,11799995,0.0
2016.0,127,20,0.0,252846619,170,1319,65436559,75010945,0.0
2017.0,195,46,0.0,993892637,301,1456,177067484,317919567,0.0
2018.0,230,75,0.0,5506322802,374,1520,180349400,651706527,0.0
2019.0,187,90,2.0,1211782377,354,1392,179201898,836597607,0.0
2020.0,194,99,6.0,1644874162,377,1572,169918332,924390021,272235881.0
2021.0,460,226,11.0,9251544728,1060,4497,1002957755,5168136005,1278004577.0
2022.0,649,232,38.0,11005159279,1137,3611,2389124199,4325653616,3357948834.0
2023.0,358,129,11.0,3627892400,609,1242,1002332101,1563025581,853862944.0
2024.0,169,109,6.0,2055853551,376,154,279196829,1205211519,212247180.0
