Deal ID;Companies;Net Income;Current Financing Status;Year Founded;Primary Industry Sector;Primary Industry Group;Deal Size;Post Valuation;Deal Date;Deal Type;Investors;PitchBook Link
279800-92T;#GetFair;;Accelerator/Incubator Backed;2018;Information Technology;Software;;;09-Aug-2023;Accelerator/Incubator;Village Capital;View Company Online
236543-05T;kulturveranstaltungen Des Bundes In Berlin (Kbb)' Gesellschaft Mit Beschränkter Haftung;;Corporation;1988;Business Products and Services (B2B);Commercial Services;0,01;;31-Dec-2017;Grant;U.S. Department of State;View Company Online
67206-16T;.acco;;Formerly VC-backed;;Information Technology;Software;;;01-Jan-2015;Early Stage VC;Black Pearls VC;View Company Online
134707-96T;.acco;;Formerly VC-backed;;Information Technology;Software;;;01-Jan-2018;Secondary Transaction - Private;;View Company Online
247813-66T;/Reach;;Venture Capital-Backed;;Information Technology;Software;0,92;;18-Dec-2023;Seed Round;Dingaling Dingaling(Dingaling Dingaling), Gmoney Gmoney(Gmoney Gmoney), Mooncat Mooncat(Mooncat Mooncat), Pranksy Pranksy(Pranksy Pranksy), Roy Bhasin(Roy Bhasin), Seedphrase;View Company Online
177780-25T;0-G Launch;;Private Equity-Backed;2019;Business Products and Services (B2B);Commercial Products;0,04;17,12;16-Mar-2022;Equity Crowdfunding;;View Company Online
272584-36T;0-G Launch;;Private Equity-Backed;2019;Business Products and Services (B2B);Commercial Products;;;;PE Growth/Expansion;IFG Capital;View Company Online
272697-04T;0-G Launch;;Private Equity-Backed;2019;Business Products and Services (B2B);Commercial Products;0,09;;01-Jun-2023;Debt - General;;View Company Online
184371-76T;00SEC;;Venture Capital-Backed;2020;Information Technology;Software;1,34;;01-Nov-2021;Seed Round;Security Capital (China);View Company Online
195490-81T;01 Exchange;;Venture Capital-Backed;;Information Technology;Software;1,94;;28-Jan-2022;Seed Round;Alameda Research Ventures(Brian Lee), Dropout Syndicate, Finlink Capital, Inscribed Ventures, LedgerPrime, Multicoin Capital(Kyle Samani), Pattern Research, Smile Asia, Solana Ventures;View Company Online
165628-99T;0Easy;;Venture Capital-Backed;2014;Information Technology;Computer Hardware;;;27-Oct-2015;Early Stage VC;Xiamen Torch Group Venture Capital;View Company Online
165629-08T;0Easy;;Venture Capital-Backed;2014;Information Technology;Computer Hardware;;;18-Aug-2016;Early Stage VC;Joychance Investment;View Company Online
165629-17T;0Easy;;Venture Capital-Backed;2014;Information Technology;Computer Hardware;;;26-Dec-2016;Early Stage VC;Nest Group (Guangzhou);View Company Online
165629-26T;0Easy;;Venture Capital-Backed;2014;Information Technology;Computer Hardware;;;14-Mar-2019;Early Stage VC;Stalagnate Capital;View Company Online
272944-18T;0xAstra;;Venture Capital-Backed;;Information Technology;Software;0,38;;21-Sep-2024;Seed Round;Animoca Brands, Folius Ventures, Redpoint China Ventures, Skyland Ventures;View Company Online
258071-50T;0xbow;;Venture Capital-Backed;2023;Financial Services;Other Financial Services;;;01-Jan-2024;Early Stage VC;Bankless Ventures, Public Works (Canada), Vitalik Buterin(Vitalik Buterin);View Company Online
208017-28T;0xPass;;Venture Capital-Backed;2022;Information Technology;Software;1,64;13,66;30-Apr-2023;Seed Round;Alliance DAO, Balaji Srinivasan, BKex Labs, Blockchain Builders Fund, Cory Levy(Cory Levy), Formulate Ventures, Hashed Emergent, Kommune, Nonce Classic, Signum Capital, Soma Capital;View Company Online
110103-13T;1 Giant Mind;;Corporation;2011;Consumer Products and Services (B2C);Services (Non-Financial);;;01-Aug-2017;Grant;Light Warrior;View Company Online
