Year ;Total Funding ;Number of Rounds ;Total Number of Companies ;Seed Stage Funding ;Early Stage Funding ;Late Stage Funding ;PE Funding ;Other-Equity Funding ;Debt Funding ;Grant Funding ;Post IPO Funding ;ICO Funding ;Seed Stage Rounds ;Early Stage Rounds ;Late Stage Rounds ;PE Rounds ;Other-Equity Rounds ;Debt Rounds ;Grant Rounds ;Post IPO Rounds ;ICO Rounds 
2015;37905179;63;1100;24985699;11799995;- ;500000;- ;- ;619485;- ;- ;51;3;- ;1;- ;- ;8;- ;- 
2016;252846619;170;1319;65436559;75010945;- ;- ;- ;102099337;1703778;- ;8596000;127;20;- ;- ;- ;6;16;- ;1
2017;993892637;301;1456;177067484;317919567;- ;6500000;220237;8000000;4776996;13167700;466240653;195;46;- ;1;1;9;31;1;17
2018;5506322802;374;1520;180349400;651706527;- ;- ;- ;17203447;9778806;1004622;4646280000;230;75;- ;- ;- ;6;46;2;15
2019;1211782377;354;1392;179201898;836597607;- ;- ;- ;21480294;18956752;6475826;149070000;187;90;2;- ;- ;12;50;6;7
2020;1644874162;377;1572;169918332;924390021;272235881;- ;- ;122449279;41344244;12861405;101675000;194;99;6;- ;- ;7;55;6;10
2021;9251544728;1060;4497;1002957755;5168136005;1278004577;- ;- ;29686330;31760904;125201117;1615798040;460;226;11;1;- ;10;46;4;302
2022;11005159279;1137;3611;2389124199;4325653616;3357948834;- ;- ;300020940;39621777;11144883;581645030;649;232;38;- ;- ;9;34;3;172
2023;3627892400;609;1242;1002332101;1563025581;853862944;- ;- ;1640000;13128188;44151216;149752370;358;129;11;- ;1;7;29;9;65
2024;2055853551;376;154;279196829;1205211519;212247180;- ;- ;120100000;5463724;25999959;207634340;169;109;6;- ;- ;4;13;6;69
